area_type,availability,location,total_sqft,bath,balcony,rooms,price
Super built-up  Area,0.0,1st Block Jayanagar,2850.0,4.0,1.0,4,428.0
Super built-up  Area,0.0,1st Block Jayanagar,1630.0,3.0,2.0,3,194.0
Super built-up  Area,1.0,1st Block Jayanagar,1875.0,2.0,3.0,3,235.0
Built-up  Area,0.0,1st Block Jayanagar,1200.0,2.0,0.0,3,130.0
Super built-up  Area,0.0,1st Block Jayanagar,1235.0,2.0,2.0,2,148.0
Super built-up  Area,0.0,1st Block Jayanagar,2750.0,4.0,0.0,4,413.0
Super built-up  Area,0.0,1st Block Jayanagar,2450.0,4.0,2.0,4,368.0
Super built-up  Area,1.0,1st Phase JP Nagar,1875.0,3.0,1.0,3,167.0
Built-up  Area,1.0,1st Phase JP Nagar,1500.0,5.0,1.0,5,85.0
Super built-up  Area,1.0,1st Phase JP Nagar,2065.0,4.0,1.0,3,210.0
Super built-up  Area,1.0,1st Phase JP Nagar,2059.0,3.0,2.0,3,225.0
Super built-up  Area,1.0,1st Phase JP Nagar,1394.0,2.0,1.0,2,100.0
Super built-up  Area,0.0,1st Phase JP Nagar,1077.0,2.0,2.0,2,93.0
Built-up  Area,1.0,1st Phase JP Nagar,839.907117,1.0,1.0,1,63.0
Plot  Area,1.0,1st Phase JP Nagar,1566.0,2.0,0.0,2,180.0
Built-up  Area,1.0,1st Phase JP Nagar,840.0,2.0,2.0,1,50.0
Super built-up  Area,0.0,1st Phase JP Nagar,1590.0,3.0,3.0,3,131.0
Super built-up  Area,1.0,1st Phase JP Nagar,2180.0,3.0,2.0,3,210.0
Super built-up  Area,1.0,1st Phase JP Nagar,1180.0,2.0,2.0,2,88.5
Super built-up  Area,1.0,1st Phase JP Nagar,1200.0,2.0,1.0,2,86.0
Built-up  Area,1.0,1st Phase JP Nagar,1394.0,2.0,2.0,2,85.0
Super built-up  Area,0.0,1st Phase JP Nagar,2077.0,3.0,3.0,3,175.0
Super built-up  Area,1.0,1st Phase JP Nagar,1205.0,2.0,1.0,2,85.0
Super built-up  Area,1.0,1st Phase JP Nagar,900.0,2.0,1.0,2,75.0
Plot  Area,1.0,2nd Stage Nagarbhavi,1500.0,4.0,2.0,4,220.0
Plot  Area,1.0,2nd Stage Nagarbhavi,1350.0,4.0,1.0,4,200.0
Plot  Area,1.0,2nd Stage Nagarbhavi,1200.0,4.0,1.0,4,225.0
Plot  Area,1.0,2nd Stage Nagarbhavi,1500.0,3.0,2.0,4,230.0
Super built-up  Area,1.0,5th Block Hbr Layout,1206.0,2.0,2.0,2,56.0
Super built-up  Area,1.0,5th Block Hbr Layout,1270.0,2.0,2.0,3,70.0
Super built-up  Area,1.0,5th Block Hbr Layout,1312.0,2.0,3.0,2,69.0
Super built-up  Area,1.0,5th Block Hbr Layout,1100.0,2.0,2.0,2,48.0
Built-up  Area,1.0,5th Block Hbr Layout,3600.0,5.0,3.0,5,130.0
Built-up  Area,1.0,5th Block Hbr Layout,5100.0,5.0,3.0,6,300.0
Super built-up  Area,1.0,5th Phase JP Nagar,1075.0,2.0,2.0,2,60.0
Built-up  Area,1.0,5th Phase JP Nagar,1150.0,3.0,3.0,2,52.5
Built-up  Area,1.0,5th Phase JP Nagar,1256.0,2.0,1.0,2,62.8
Super built-up  Area,1.0,5th Phase JP Nagar,1207.0,2.0,2.0,2,63.0
Built-up  Area,1.0,5th Phase JP Nagar,1725.0,2.0,2.0,3,100.0
Super built-up  Area,1.0,5th Phase JP Nagar,1440.0,2.0,2.0,2,60.0
Built-up  Area,1.0,5th Phase JP Nagar,1700.0,2.0,3.0,3,100.0
Super built-up  Area,1.0,5th Phase JP Nagar,2500.0,5.0,1.0,5,110.0
Built-up  Area,1.0,5th Phase JP Nagar,600.0,1.0,1.0,1,30.0
Super built-up  Area,1.0,5th Phase JP Nagar,1390.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,5th Phase JP Nagar,1000.0,2.0,0.0,2,48.0
Super built-up  Area,1.0,5th Phase JP Nagar,1350.0,2.0,1.0,3,75.0
Super built-up  Area,1.0,5th Phase JP Nagar,552.0,1.0,1.0,1,23.5
Super built-up  Area,1.0,5th Phase JP Nagar,1200.0,2.0,2.0,2,51.0
Built-up  Area,1.0,5th Phase JP Nagar,1030.0,2.0,2.0,2,57.0
Super built-up  Area,1.0,5th Phase JP Nagar,1200.0,2.0,1.0,2,68.0
Built-up  Area,1.0,5th Phase JP Nagar,1190.0,2.0,2.0,2,61.8
Super built-up  Area,1.0,5th Phase JP Nagar,4000.0,5.0,2.0,5,170.0
Super built-up  Area,1.0,5th Phase JP Nagar,1080.0,2.0,1.0,2,53.0
Super built-up  Area,1.0,5th Phase JP Nagar,1041.0,2.0,2.0,2,54.0
Super built-up  Area,1.0,5th Phase JP Nagar,812.0,2.0,1.0,2,42.0
Built-up  Area,1.0,5th Phase JP Nagar,1010.0,2.0,2.0,2,57.0
Super built-up  Area,1.0,6th Phase JP Nagar,1192.0,2.0,2.0,2,74.0
Super built-up  Area,1.0,6th Phase JP Nagar,1180.0,2.0,3.0,2,80.0
Super built-up  Area,1.0,6th Phase JP Nagar,3245.0,4.0,1.0,4,250.0
Built-up  Area,1.0,6th Phase JP Nagar,1645.0,3.0,3.0,3,100.0
Built-up  Area,1.0,6th Phase JP Nagar,1140.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,6th Phase JP Nagar,2040.0,3.0,1.0,3,200.0
Super built-up  Area,1.0,6th Phase JP Nagar,1213.0,2.0,1.0,2,63.0
Built-up  Area,1.0,6th Phase JP Nagar,1216.0,2.0,2.0,2,60.0
Super built-up  Area,1.0,6th Phase JP Nagar,1460.0,2.0,1.0,2,80.0
Super built-up  Area,1.0,6th Phase JP Nagar,2003.0,3.0,3.0,3,200.0
Super built-up  Area,1.0,6th Phase JP Nagar,1810.0,3.0,3.0,3,131.0
Super built-up  Area,1.0,6th Phase JP Nagar,1515.0,2.0,2.0,3,135.0
Super built-up  Area,1.0,6th Phase JP Nagar,1192.0,2.0,3.0,2,75.0
Super built-up  Area,1.0,6th Phase JP Nagar,1280.0,2.0,1.0,2,88.0
Built-up  Area,1.0,7th Phase JP Nagar,1080.0,2.0,2.0,2,72.0
Super built-up  Area,1.0,7th Phase JP Nagar,1270.0,2.0,2.0,2,93.0
Built-up  Area,1.0,7th Phase JP Nagar,1420.0,2.0,1.0,3,100.0
Built-up  Area,1.0,7th Phase JP Nagar,1850.0,3.0,1.0,3,150.0
Built-up  Area,1.0,7th Phase JP Nagar,1245.0,2.0,1.0,2,94.0
Super built-up  Area,1.0,7th Phase JP Nagar,1175.0,2.0,1.0,2,82.0
Super built-up  Area,1.0,7th Phase JP Nagar,1400.0,2.0,1.0,3,95.0
Super built-up  Area,0.0,7th Phase JP Nagar,2225.0,3.0,1.0,3,160.0
Built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,1.0,2,71.0
Built-up  Area,1.0,7th Phase JP Nagar,918.0,2.0,1.0,2,50.49
Super built-up  Area,1.0,7th Phase JP Nagar,1450.0,2.0,1.0,3,100.0
Super built-up  Area,1.0,7th Phase JP Nagar,1420.0,2.0,2.0,3,96.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,120.0
Super built-up  Area,1.0,7th Phase JP Nagar,980.0,2.0,2.0,2,69.0
Super built-up  Area,1.0,7th Phase JP Nagar,1180.0,2.0,2.0,2,72.0
Built-up  Area,1.0,7th Phase JP Nagar,1400.0,3.0,1.0,3,115.0
Super built-up  Area,1.0,7th Phase JP Nagar,1270.0,2.0,1.0,2,83.0
Super built-up  Area,0.0,7th Phase JP Nagar,2503.0,4.0,0.0,4,188.0
